author_id, first_publication_year, number_of_publications, number_of_first_author_publications, number_of_coauthors, affiliation 
1000, 1989, 113, 18, 461, IBM Research
1001, 1994, 83, 8, 369, University of Texas at Austin USA
1002, 1985, 126, 58, 380, Bell Labs
1003, 1996, 384, 90, 1647, University of Oxford UK
1004, 1995, 100, 8, 349, 
1005, 2005, 33, 17, 124, Nanjing University State Key Laboratory for Novel Software Technology China
1006, 2002, 107, 45, 435, 
1007, 1993, 87, 56, 207, 
1008, 2004, 88, 33, 342, 
1009, 1997, 350, 49, 1415, 
1010, 1983, 380, 16, 1563, 
1011, 2003, 15, 8, 40, 
1012, 1997, 103, 19, 289, Lehigh University Bethlehem PA USA
1013, 2005, 19, 9, 96, 
1014, 2003, 30, 19, 120, L3S Research Center Hanover Germany
1015, 1998, 112, 16, 529, 
1016, 2000, 79, 9, 352, 
1017, 1987, 413, 55, 1549, University of Hanover Germany
1018, 2000, 36, 9, 129, 
1019, 1990, 85, 26, 276, 
1020, 2003, 28, 14, 97, 
1021, 2006, 3, 1, 18, 
1022, 2006, 3, 1, 18, 
1023, 1982, 8, 3, 28, 
1024, 2006, 3, 1, 18, 
1025, 2006, 7, 2, 27, 
1026, 2002, 6, 4, 17, 
1027, 1993, 112, 58, 370, Utah State University
1028, 1984, 132, 26, 456, Georgia Institute of Technology Atlanta GA USA
1029, 2002, 96, 14, 391, Radboud Universiteit Nijmegen The Netherlands
1030, 1996, 59, 16, 183, 
1031, 2004, 27, 10, 133, 
1032, 2003, 18, 1, 89, 
1033, 1996, 291, 99, 1140, 
1034, 1985, 457, 26, 1992, Penn State University Park USA
1035, 1993, 300, 16, 1340, Penn State University Park USA
1036, 2005, 3, 0, 12, 
1037, 2001, 15, 2, 94, 
1038, 2001, 11, 5, 75, 
1039, 1993, 268, 66, 1063, Google
1040, 2003, 15, 1, 71, 
1041, 1985, 192, 44, 666, Stanford University USA
1042, 1992, 117, 9, 515, 
1043, 1997, 84, 17, 334, 
1044, 2004, 24, 11, 97, Carnegie Mellon University Pittsburgh USA
1045, 2004, 33, 29, 103, 
1046, 1985, 48, 19, 155, 
