code,title
30000,PVLDB
30001,Concurrency and Computation: Practice and Experience
30002,IEEE Internet Computing
30003,AMIA
30004,ICDCS
30005,IJCAI
30006,SecureComm (1)
30007,CoRR
30008,IEEE Trans. Computers
30009,HotWeb
30010,ICDE
30011,IBM Journal of Research and Development
30012,CLOUD
30013,ICWS
30014,IEEE Trans. Dependable Sec. Comput.
30015,CCGRID
30016,Commun. ACM
30017,ACM Queue
30018,SoCC
30019,EKAW
30020,International Semantic Web Conference (P&D/Industry/BlueSky)
30021,International Semantic Web Conference (Posters & Demos)
30022,AI Magazine
30023,AAAI
30024,International Semantic Web Conference (1)
30025,Artif. Intell.
30026,J. Artif. Intell. Res.
30027,Semantic Web
30028,IEEE Trans. Knowl. Data Eng.
30029,BigData
30030,Description Logics
30031,ESWC
30032,ILP
30033,JIST
30034,KR
30035,SIMBig
30036,Universal Access in the Information Society
30037,CIKM
30038,GRADES@SIGMOD/PODS
30039,International Semantic Web Conference (Posters Demos & Industry Tracks)
30040,International Semantic Web Conference (2)
30041,Lecture Notes in Computer Science
30042,DEBS
30043,LABELS/DLMIA@MICCAI
30044,SIGMOD Conference
30045,SWAT4LS
30046,ISVC (1)
30047,ORE
30048,VOILA@ISWC
30049,WSDM
30050,Int. J. Semantic Web Inf. Syst.
30051,J. Comput. Sci. Technol.
30052,Knowl.-Based Syst.
30053,World Wide Web
30054,COLING
30055,SIGIR
30056,WISE (1)
30057,OM@ISWC
30058,SumPre@ESWC
30059,JIST (Workshops & Posters)
30060,J. Web Semant.
30061,APWeb
30062,WWW
30063,IEEE Trans. Image Processing
30064,ICSC
30065,IEEE Access
30066,J. Comput. Physics
30067,Multimedia Tools Appl.
30068,IEEE Signal Process. Mag.
30069,IEEE Trans. Circuits Syst. Video Techn.
30070,IEEE Trans. Geoscience and Remote Sensing
30071,AIKE
30072,IEEE Geosci. Remote Sensing Lett.
30073,Proceedings of the IEEE
30074,ICCV Workshops
30075,IJCNLP(1)
30076,Neurocomputing
30077,Multidim. Syst. Sign. Process.
30078,CLSW
30079,CVPR
30080,IGARSS
30081,CEUR Workshop Proceedings
30082,IET Computer Vision
30083,IEEE Trans. Autonomous Mental Development
30084,BigMM
30085,FSKD
30086,Geoinformatics
30087,ACM Multimedia
30088,ICIP
30089,ITSC
30090,Mach. Vis. Appl.
30091,NIPS
30092,SSCI
30093,ICCS
30094,ICLR
30095,CAIP (2)
30096,Advanced Robotics
30097,Future Generation Comp. Syst.
30098,IMWUT
30099,Personal and Ubiquitous Computing
30100,HCI (22)
30101,MUM
30102,PerCom Workshops
30103,JIP
30104,Pervasive and Mobile Computing
30105,IEEE Trans. Emerging Topics Comput.
30106,AmI
30107,EMNLP
30108,iWOAR
30109,PerCom
30110,UbiComp
30111,IEICE Electronic Express
30112,J. Sel. Topics Signal Processing
30113,ACM Trans. Embedded Comput. Syst.
30114,ISCIT
30115,ISWC
30116,ACM Trans. Asian & Low-Resource Lang. Inf. Process.
30117,MONET
30118,IEEE Network
30119,IEEE Trans. Vehicular Technology
30120,COMPSAC (2)
